Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1508.2	30.000	2.3914	0.41816	80.950	93.495	139.52	39.552	49.160	931.11	0.62808	undefined	undefined	supercritical
1510.5	30.000	2.3877	0.41882	81.039	93.604	139.60	39.571	49.173	931.79	0.62496	undefined	undefined	supercritical
1512.7	30.000	2.3839	0.41948	81.128	93.713	139.67	39.590	49.185	932.47	0.62185	undefined	undefined	supercritical
1514.9	30.000	2.3802	0.42013	81.217	93.821	139.74	39.609	49.198	933.14	0.61876	undefined	undefined	supercritical
1517.1	30.000	2.3765	0.42079	81.307	93.930	139.81	39.628	49.210	933.82	0.61569	undefined	undefined	supercritical
1519.3	30.000	2.3728	0.42145	81.396	94.039	139.88	39.647	49.223	934.49	0.61263	undefined	undefined	supercritical
1521.5	30.000	2.3691	0.42211	81.485	94.148	139.96	39.665	49.236	935.16	0.60958	undefined	undefined	supercritical
1523.7	30.000	2.3654	0.42277	81.574	94.257	140.03	39.684	49.249	935.84	0.60656	undefined	undefined	supercritical
1525.9	30.000	2.3617	0.42342	81.664	94.366	140.10	39.703	49.261	936.51	0.60354	undefined	undefined	supercritical
1528.2	30.000	2.3580	0.42408	81.753	94.475	140.17	39.722	49.274	937.18	0.60054	undefined	undefined	supercritical
1530.4	30.000	2.3544	0.42474	81.842	94.584	140.24	39.740	49.287	937.85	0.59756	undefined	undefined	supercritical
1532.6	30.000	2.3508	0.42539	81.932	94.694	140.31	39.759	49.300	938.52	0.59459	undefined	undefined	supercritical
1534.8	30.000	2.3471	0.42605	82.021	94.803	140.38	39.778	49.312	939.19	0.59163	undefined	undefined	supercritical
1537.0	30.000	2.3435	0.42671	82.111	94.912	140.45	39.796	49.325	939.86	0.58869	undefined	undefined	supercritical
1539.2	30.000	2.3399	0.42736	82.200	95.021	140.53	39.815	49.338	940.53	0.58577	undefined	undefined	supercritical
1541.4	30.000	2.3363	0.42802	82.290	95.130	140.60	39.834	49.351	941.20	0.58286	undefined	undefined	supercritical
1543.7	30.000	2.3328	0.42868	82.379	95.239	140.67	39.852	49.364	941.86	0.57996	undefined	undefined	supercritical
1545.9	30.000	2.3292	0.42933	82.469	95.349	140.74	39.871	49.377	942.53	0.57708	undefined	undefined	supercritical
1548.1	30.000	2.3257	0.42999	82.558	95.458	140.81	39.889	49.390	943.19	0.57421	undefined	undefined	supercritical
1550.3	30.000	2.3221	0.43064	82.648	95.567	140.88	39.908	49.403	943.86	0.57135	undefined	undefined	supercritical
1552.5	30.000	2.3186	0.43130	82.738	95.677	140.95	39.926	49.416	944.52	0.56851	undefined	undefined	supercritical
1554.7	30.000	2.3151	0.43195	82.828	95.786	141.02	39.945	49.429	945.18	0.56568	undefined	undefined	supercritical
1556.9	30.000	2.3116	0.43261	82.917	95.896	141.09	39.963	49.442	945.85	0.56287	undefined	undefined	supercritical
1559.1	30.000	2.3081	0.43326	83.007	96.005	141.16	39.982	49.455	946.51	0.56007	undefined	undefined	supercritical
1561.4	30.000	2.3046	0.43392	83.097	96.114	141.23	40.000	49.468	947.17	0.55728	undefined	undefined	supercritical
1563.6	30.000	2.3011	0.43457	83.187	96.224	141.30	40.019	49.481	947.83	0.55451	undefined	undefined	supercritical
1565.8	30.000	2.2977	0.43522	83.277	96.334	141.37	40.037	49.494	948.49	0.55175	undefined	undefined	supercritical
1568.0	30.000	2.2942	0.43588	83.367	96.443	141.44	40.055	49.507	949.15	0.54901	undefined	undefined	supercritical
1570.2	30.000	2.2908	0.43653	83.457	96.553	141.51	40.074	49.520	949.81	0.54627	undefined	undefined	supercritical
