Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
55.922.104;70.250.922;41.036.094;0.024368791;22.689.285;22.860.478;56.291.280;55.371.182;97.417.814;98.247.563;0.13567581;91.172.420;0.57281490;0.017576906;liquid
55.984.427;70.899.673;40.971.956;0.024406938;22.747.352;22.920.397;56.395.539;55.351.527;97.653.408;97.932.629;0.13872624;90.930.885;0.57195261;0.017431936;liquid
56.046.749;71.552.995;40.907.535;0.024445374;22.805.521;22.980.435;56.499.872;55.332.132;97.892.283;97.616.618;0.14181418;90.689.774;0.57108668;0.017287045;liquid
56.109.072;72.210.913;40.842.827;0.024484103;22.863.793;23.040.595;56.604.280;55.313.000;98.134.506;97.299.525;0.14494029;90.449.074;0.57021710;0.017142238;liquid
56.171.395;72.873.449;40.777.829;0.024523130;22.922.169;23.100.878;56.708.767;55.294.137;98.380.149;96.981.342;0.14810526;90.208.773;0.56934385;0.016997515;liquid
56.233.717;73.540.626;40.712.538;0.024562458;22.980.650;23.161.284;56.813.334;55.275.544;98.629.284;96.662.061;0.15130979;89.968.860;0.56846691;0.016852878;liquid
56.296.040;74.212.467;40.646.951;0.024602091;23.039.238;23.221.817;56.917.983;55.257.227;98.881.987;96.341.677;0.15455461;89.729.321;0.56758626;0.016708331;liquid
56.358.363;74.888.995;40.581.065;0.024642034;23.097.934;23.282.476;57.022.717;55.239.188;99.138.335;96.020.182;0.15784045;89.490.145;0.56670189;0.016563875;liquid
56.420.685;75.570.235;40.514.876;0.024682292;23.156.739;23.343.264;57.127.537;55.221.434;99.398.406;95.697.567;0.16116807;89.251.320;0.56581378;0.016419512;liquid
56.483.008;76.256.209;40.448.381;0.024722868;23.215.654;23.404.182;57.232.447;55.203.966;99.662.284;95.373.826;0.16453824;89.012.833;0.56492191;0.016275244;liquid
56.545.331;76.946.942;40.381.577;0.024763768;23.274.681;23.465.231;57.337.448;55.186.790;99.930.052;95.048.951;0.16795176;88.774.673;0.56402627;0.016131074;liquid
56.607.653;77.642.456;40.314.459;0.024804996;23.333.822;23.526.414;57.442.542;55.169.911;10.020.180;94.722.934;0.17140944;88.536.826;0.56312683;0.015987005;liquid
56.669.976;78.342.776;40.247.025;0.024846557;23.393.076;23.587.731;57.547.733;55.153.332;10.047.761;94.395.768;0.17491211;88.299.280;0.56222358;0.015843038;liquid
56.732.299;79.047.926;40.179.270;0.024888456;23.452.447;23.649.185;57.653.022;55.137.059;10.075.758;94.067.443;0.17846064;88.062.024;0.56131649;0.015699175;liquid
56.794.621;79.757.930;40.111.191;0.024930698;23.511.935;23.710.777;57.758.413;55.121.096;10.104.180;93.737.952;0.18205588;87.825.043;0.56040555;0.015555420;liquid
56.856.944;80.472.812;40.042.784;0.024973289;23.571.541;23.772.508;57.863.907;55.105.448;10.133.038;93.407.287;0.18569875;87.588.327;0.55949073;0.015411774;liquid
56.919.267;81.192.597;39.974.045;0.025016232;23.631.268;23.834.381;57.969.507;55.090.120;10.162.340;93.075.439;0.18939016;87.351.861;0.55857202;0.015268241;liquid
56.981.589;81.917.308;39.904.971;0.025059535;23.691.117;23.896.398;58.075.216;55.075.118;10.192.099;92.742.399;0.19313105;87.115.634;0.55764939;0.015124822;liquid
57.043.912;82.646.972;39.835.556;0.025103202;23.751.088;23.958.559;58.181.036;55.060.446;10.222.323;92.408.159;0.19692240;86.879.632;0.55672281;0.014981519;liquid
57.106.235;83.381.612;39.765.797;0.025147239;23.811.185;24.020.867;58.286.971;55.046.111;10.253.026;92.072.710;0.20076520;86.643.843;0.55579228;0.014838337;liquid
57.168.557;84.121.253;39.695.691;0.025191651;23.871.409;24.083.324;58.393.023;55.032.119;10.284.217;91.736.043;0.20466047;86.408.253;0.55485775;0.014695276;liquid
57.230.880;84.865.921;39.625.231;0.025236446;23.931.760;24.145.932;58.499.195;55.018.474;10.315.909;91.398.147;0.20860925;86.172.850;0.55391921;0.014552340;liquid
57.293.203;85.615.640;39.554.414;0.025281628;23.992.241;24.208.692;58.605.490;55.005.183;10.348.113;91.059.015;0.21261261;85.937.620;0.55297664;0.014409531;liquid
57.355.525;86.370.436;39.483.236;0.025327205;24.052.854;24.271.606;58.711.910;54.992.252;10.380.844;90.718.636;0.21667167;85.702.550;0.55203001;0.014266853;liquid
57.417.848;87.130.335;39.411.691;0.025373181;24.113.600;24.334.678;58.818.459;54.979.687;10.414.112;90.377.001;0.22078755;85.467.627;0.55107929;0.014124307;liquid
57.480.171;87.895.362;39.339.776;0.025419565;24.174.482;24.397.908;58.925.140;54.967.496;10.447.933;90.034.100;0.22496142;85.232.836;0.55012446;0.013981896;liquid
57.542.493;88.665.542;39.267.485;0.025466362;24.235.500;24.461.299;59.031.956;54.955.684;10.482.320;89.689.922;0.22919447;84.998.165;0.54916548;0.013839623;liquid
57.604.816;89.440.903;39.194.813;0.025513580;24.296.657;24.524.853;59.138.911;54.944.260;10.517.287;89.344.458;0.23348792;84.763.599;0.54820234;0.013697492;liquid
57.667.139;90.221.469;39.121.755;0.025561225;24.357.955;24.588.572;59.246.006;54.933.229;10.552.849;88.997.696;0.23784304;84.529.125;0.54723501;0.013555504;liquid
57.729.461;91.007.267;39.048.307;0.025609305;24.419.395;24.652.458;59.353.247;54.922.600;10.589.022;88.649.627;0.24226112;84.294.729;0.54626344;0.013413663;liquid
57.791.784;91.798.323;38.974.462;0.025657827;24.480.980;24.716.515;59.460.636;54.912.380;10.625.822;88.300.239;0.24674350;84.060.396;0.54528763;0.013271972;liquid
57.854.107;92.594.664;38.900.216;0.025706798;24.542.712;24.780.743;59.568.177;54.902.577;10.663.264;87.949.521;0.25129154;83.826.112;0.54430753;0.013130433;liquid
57.916.429;93.396.317;38.825.563;0.025756227;24.604.593;24.845.146;59.675.873;54.893.199;10.701.366;87.597.461;0.25590666;83.591.863;0.54332312;0.012989050;liquid
57.978.752;94.203.309;38.750.496;0.025806121;24.666.624;24.909.726;59.783.728;54.884.254;10.740.147;87.244.049;0.26059030;83.357.633;0.54233436;0.012847826;liquid
58.041.075;95.015.666;38.675.012;0.025856488;24.728.809;24.974.486;59.891.746;54.875.751;10.779.623;86.889.273;0.26534396;83.123.409;0.54134122;0.012706763;liquid
58.103.397;95.833.417;38.599.103;0.025907338;24.791.149;25.039.428;59.999.931;54.867.700;10.819.815;86.533.119;0.27016916;82.889.174;0.54034367;0.012565865;liquid
58.165.720;96.656.587;38.522.764;0.025958678;24.853.646;25.104.554;60.108.286;54.860.109;10.860.742;86.175.577;0.27506750;82.654.914;0.53934167;0.012425136;liquid
58.228.043;97.485.206;38.445.988;0.026010517;24.916.304;25.169.868;60.216.815;54.852.987;10.902.424;85.816.633;0.28004059;82.420.614;0.53833520;0.012284577;liquid
58.290.365;98.319.301;38.368.768;0.026062864;24.979.124;25.235.372;60.325.524;54.846.346;10.944.883;85.456.274;0.28509011;82.186.257;0.53732421;0.012144194;liquid
58.352.688;99.158.899;38.291.100;0.026115729;25.042.109;25.301.069;60.434.414;54.840.194;10.988.141;85.094.487;0.29021779;81.951.828;0.53630867;0.012003988;liquid
58.415.011;10.000.403;38.212.975;0.026169122;25.105.261;25.366.963;60.543.492;54.834.542;11.032.221;84.731.258;0.29542541;81.717.311;0.53528855;0.011863964;liquid
58.477.334;10.085.472;38.134.387;0.026223052;25.168.583;25.433.055;60.652.762;54.829.402;11.077.146;84.366.574;0.30071480;81.482.689;0.53426380;0.011724125;liquid
58.539.656;10.171.100;38.055.329;0.026277529;25.232.078;25.499.349;60.762.227;54.824.784;11.122.942;84.000.420;0.30608785;81.247.947;0.53323438;0.011584474;liquid
58.601.979;10.257.290;37.975.794;0.026332563;25.295.748;25.565.849;60.871.893;54.820.701;11.169.634;83.632.782;0.31154651;81.013.066;0.53220027;0.011445015;liquid
58.664.302;10.344.044;37.895.774;0.026388167;25.359.596;25.632.556;60.981.764;54.817.164;11.217.249;83.263.643;0.31709280;80.778.031;0.53116141;0.011305751;liquid
58.726.624;10.431.366;37.815.262;0.026444349;25.423.625;25.699.476;61.091.845;54.814.185;11.265.815;82.892.990;0.32272879;80.542.823;0.53011778;0.011166687;liquid
58.788.947;10.519.259;37.734.250;0.026501123;25.487.838;25.766.610;61.202.141;54.811.779;11.315.361;82.520.805;0.32845663;80.307.425;0.52906932;0.011027826;liquid
58.851.270;10.607.725;37.652.730;0.026558499;25.552.238;25.833.963;61.312.658;54.809.957;11.365.918;82.147.073;0.33427854;80.071.819;0.52801599;0.010889171;liquid
58.913.592;10.696.767;37.570.694;0.026616490;25.616.828;25.901.538;61.423.400;54.808.735;11.417.517;81.771.776;0.34019681;79.835.988;0.52695776;0.010750727;liquid
58.975.915;10.786.389;37.488.134;0.026675107;25.681.611;25.969.339;61.534.373;54.808.126;11.470.191;81.394.896;0.34621380;79.599.911;0.52589457;0.010612497;liquid
59.038.238;10.876.594;37.405.040;0.026734365;25.746.590;26.037.369;61.645.582;54.808.146;11.523.975;81.016.415;0.35233196;79.363.570;0.52482639;0.010474486;liquid
59.100.560;10.967.384;37.321.404;0.026794276;25.811.769;26.105.632;61.757.032;54.808.810;11.578.905;80.636.315;0.35855384;79.126.947;0.52375316;0.010336698;liquid
59.162.883;11.058.763;37.237.217;0.026854853;25.877.151;26.174.133;61.868.731;54.810.134;11.635.018;80.254.575;0.36488204;78.890.020;0.52267485;0.010199136;liquid
59.225.206;11.150.734;37.152.470;0.026916111;25.942.740;26.242.875;61.980.684;54.812.136;11.692.354;79.871.176;0.37131929;78.652.770;0.52159140;0.010061805;liquid
